SECID,rows,first_tradedate,last_tradedate
MM2500BR6,604,2024-01-03,2026-05-19
MM2550BR6,604,2024-01-03,2026-05-19
MM2600BF6,604,2024-01-03,2026-05-19
MM2600BR6,604,2024-01-03,2026-05-19
MM2650BF6,604,2024-01-03,2026-05-19
MM2700BF6,604,2024-01-03,2026-05-19
MM2700BR6,604,2024-01-03,2026-05-19
MM2750BF6,604,2024-01-03,2026-05-19
MM2750BR6,604,2024-01-03,2026-05-19
MM2800BF6,604,2024-01-03,2026-05-19
MM2800BR6,604,2024-01-03,2026-05-19
MM3050BL6,604,2024-01-03,2026-05-19
MM3100BI6,604,2024-01-03,2026-05-19
MM3100BL6,604,2024-01-03,2026-05-19
MM3150BC7,604,2024-01-03,2026-05-19
MM3150BI6,604,2024-01-03,2026-05-19
MM3200BC7,604,2024-01-03,2026-05-19
MM3200BI6,604,2024-01-03,2026-05-19
MM3200BL6,604,2024-01-03,2026-05-19
MM3250BL6,604,2024-01-03,2026-05-19
MM3000BF6,600,2024-01-08,2026-05-19
IM2750CF7,554,2024-03-15,2026-05-19
MM3300BF7,554,2024-03-15,2026-05-19
MM3450BF7,554,2024-03-15,2026-05-19
MM2900BF6,547,2024-01-08,2026-05-19
IM2750CF6,518,2024-05-06,2026-05-19
MM2850BF6,503,2024-02-28,2026-05-19
MM2850BR6,503,2024-02-28,2026-05-19
IM2650CI7,491,2024-06-14,2026-05-19
IM2650CL7,426,2024-09-13,2026-05-19
IM2750CL7,426,2024-09-13,2026-05-19
MM2400BR6,382,2024-07-16,2026-05-19
IM2750CC8,361,2024-12-13,2026-05-19
IM3200CC8,361,2024-12-13,2026-05-19
MM2400BU6,317,2024-09-03,2026-05-19
IM2750CF8,299,2025-03-14,2026-05-19
IM2750CF5,285,2024-05-06,2025-06-18
MX255000BF6,242,2025-06-05,2026-05-19
MX255000BR6,242,2025-06-05,2026-05-19
MX260000BF6,242,2025-06-05,2026-05-19
MX260000BR6,242,2025-06-05,2026-05-19
MX265000BF6,242,2025-06-05,2026-05-19
MX265000BR6,242,2025-06-05,2026-05-19
MX270000BF6,242,2025-06-05,2026-05-19
MX270000BR6,242,2025-06-05,2026-05-19
MX275000BF6,242,2025-06-05,2026-05-19
MX275000BR6,242,2025-06-05,2026-05-19
MX280000BF6,242,2025-06-05,2026-05-19
MX280000BR6,242,2025-06-05,2026-05-19
MX285000BF6,242,2025-06-05,2026-05-19
MX285000BR6,242,2025-06-05,2026-05-19
MX290000BF6,242,2025-06-05,2026-05-19
MX290000BR6,242,2025-06-05,2026-05-19
MX295000BF6,242,2025-06-05,2026-05-19
MX295000BR6,242,2025-06-05,2026-05-19
MX300000BF6,242,2025-06-05,2026-05-19
MX305000BF6,242,2025-06-05,2026-05-19
MX310000BF6,242,2025-06-05,2026-05-19
MX315000BF6,242,2025-06-05,2026-05-19
MX340000BF6,242,2025-06-05,2026-05-19
MX250000BR6,241,2025-06-05,2026-05-19
MX380000BF6,232,2025-06-11,2026-05-19
MX225000BR6,226,2025-06-11,2026-05-19
MM1900BC7,217,2024-03-14,2026-05-19
MM1850BC7,180,2024-06-05,2026-05-18
MM1850BO7,180,2024-06-05,2026-05-18
MM1900BF7,163,2024-06-04,2026-05-18
MX190000BR6,145,2025-10-06,2026-05-19
MM1900BF6,124,2025-10-06,2026-05-19
MM2650BP6,74,2025-12-29,2026-04-16
MM2750BP6,74,2025-12-29,2026-04-16
MM2800BD6,74,2025-12-29,2026-04-16
MM2800BP6,74,2025-12-29,2026-04-16
MM2850BD6,74,2025-12-29,2026-04-16
MM2850BP6,74,2025-12-29,2026-04-16
MM2900BD6,74,2025-12-29,2026-04-16
MM2950BD6,74,2025-12-29,2026-04-16
MM2950BP6,74,2025-12-29,2026-04-16
MX260000BP6,74,2025-12-29,2026-04-16
MX265000BP6,74,2025-12-29,2026-04-16
MX270000BD6,74,2025-12-29,2026-04-16
MX270000BP6,74,2025-12-29,2026-04-16
MX275000BD6,74,2025-12-29,2026-04-16
MX275000BP6,74,2025-12-29,2026-04-16
MX280000BD6,74,2025-12-29,2026-04-16
MX280000BP6,74,2025-12-29,2026-04-16
MX285000BD6,74,2025-12-29,2026-04-16
MX285000BP6,74,2025-12-29,2026-04-16
MX290000BD6,74,2025-12-29,2026-04-16
MX290000BP6,74,2025-12-29,2026-04-16
MX295000BD6,74,2025-12-29,2026-04-16
MX295000BP6,74,2025-12-29,2026-04-16
MX300000BD6,74,2025-12-29,2026-04-16
MX300000BP6,74,2025-12-29,2026-04-16
MX305000BD6,74,2025-12-29,2026-04-16
MX310000BD6,74,2025-12-29,2026-04-16
MX315000BD6,74,2025-12-29,2026-04-16
MX325000BD6,74,2025-12-29,2026-04-16
MX340000BD6,74,2025-12-29,2026-04-16
MM1850BF6,72,2025-10-09,2026-05-19
MM1850BR6,72,2025-10-09,2026-05-19
MM2300BQ6,71,2026-02-06,2026-05-19
MM2350BQ6,71,2026-02-06,2026-05-19
MM2450BE6,71,2026-02-06,2026-05-19
MM2450BQ6,71,2026-02-06,2026-05-19
MM2500BQ6,71,2026-02-06,2026-05-19
MM2550BQ6,71,2026-02-06,2026-05-19
MM2600BQ6,71,2026-02-06,2026-05-19
MM2650BE6,71,2026-02-06,2026-05-19
MM2650BQ6,71,2026-02-06,2026-05-19
MM2700BE6,71,2026-02-06,2026-05-19
MM2700BQ6,71,2026-02-06,2026-05-19
MM2750BE6,71,2026-02-06,2026-05-19
MM2750BQ6,71,2026-02-06,2026-05-19
MM2800BE6,71,2026-02-06,2026-05-19
MM2800BQ6,71,2026-02-06,2026-05-19
MM2850BE6,71,2026-02-06,2026-05-19
MM2900BE6,71,2026-02-06,2026-05-19
MM2950BE6,71,2026-02-06,2026-05-19
MM3000BE6,71,2026-02-06,2026-05-19
MM3100BE6,71,2026-02-06,2026-05-19
MX240000BQ6,71,2026-02-06,2026-05-19
MX250000BQ6,71,2026-02-06,2026-05-19
MX255000BQ6,71,2026-02-06,2026-05-19
MX260000BQ6,71,2026-02-06,2026-05-19
MX265000BE6,71,2026-02-06,2026-05-19
MX265000BQ6,71,2026-02-06,2026-05-19
MX270000BE6,71,2026-02-06,2026-05-19
MX270000BQ6,71,2026-02-06,2026-05-19
MX275000BE6,71,2026-02-06,2026-05-19
MX275000BQ6,71,2026-02-06,2026-05-19
MX280000BE6,71,2026-02-06,2026-05-19
MX280000BQ6,71,2026-02-06,2026-05-19
MX285000BE6,71,2026-02-06,2026-05-19
MX290000BE6,71,2026-02-06,2026-05-19
MX295000BE6,71,2026-02-06,2026-05-19
MX300000BE6,71,2026-02-06,2026-05-19
MX305000BE6,71,2026-02-06,2026-05-19
MX320000BE6,71,2026-02-06,2026-05-19
MX260000BU6,52,2026-03-06,2026-05-19
MX265000BU6,52,2026-03-06,2026-05-19
MX270000BI6,52,2026-03-06,2026-05-19
MX270000BU6,52,2026-03-06,2026-05-19
MX275000BI6,52,2026-03-06,2026-05-19
MX275000BU6,52,2026-03-06,2026-05-19
MX280000BI6,52,2026-03-06,2026-05-19
MX280000BU6,52,2026-03-06,2026-05-19
MX285000BI6,52,2026-03-06,2026-05-19
IM2600CD6,50,2026-02-04,2026-04-15
IM2650CD6,50,2026-02-04,2026-04-15
IM2700CD6,50,2026-02-04,2026-04-15
IM2750CD6,50,2026-02-04,2026-04-15
IM2750CP6,50,2026-02-04,2026-04-15
IM2800CD6,50,2026-02-04,2026-04-15
IM2800CP6,50,2026-02-04,2026-04-15
MX180000BR6,47,2025-10-27,2026-05-19
MM1800BF6,44,2025-10-28,2026-05-19
MM1800BR6,44,2025-10-28,2026-05-19
IM2450CE6,34,2026-04-01,2026-05-19
IM2500CE6,34,2026-04-01,2026-05-19
IM2500CQ6,34,2026-04-01,2026-05-19
IM2550CE6,34,2026-04-01,2026-05-19
IM2550CQ6,34,2026-04-01,2026-05-19
IM2600CE6,34,2026-04-01,2026-05-19
IM2600CQ6,34,2026-04-01,2026-05-19
IM2650CE6,34,2026-04-01,2026-05-19
IM2650CQ6,34,2026-04-01,2026-05-19
IM2700CE5,34,2025-04-02,2025-05-21
IM2700CE6,34,2026-04-01,2026-05-19
IM2700CQ5,34,2025-04-02,2025-05-21
IM2700CQ6,34,2026-04-01,2026-05-19
IM2750CE5,34,2025-04-02,2025-05-21
IM2750CE6,34,2026-04-01,2026-05-19
IM2750CQ5,34,2025-04-02,2025-05-21
IM2750CQ6,34,2026-04-01,2026-05-19
IM2800CE5,34,2025-04-02,2025-05-21
IM2800CE6,34,2026-04-01,2026-05-19
IM2800CQ5,34,2025-04-02,2025-05-21
IM2800CQ6,34,2026-04-01,2026-05-19
IM2850CE5,34,2025-04-02,2025-05-21
IM2850CE6,34,2026-04-01,2026-05-19
IM2850CQ5,34,2025-04-02,2025-05-21
IM2850CQ6,34,2026-04-01,2026-05-19
IM2900CE6,34,2026-04-01,2026-05-19
IM2900CQ5,34,2025-04-02,2025-05-21
IM2900CQ6,34,2026-04-01,2026-05-19
IM2950CQ6,34,2026-04-01,2026-05-19
IM3000CQ6,34,2026-04-01,2026-05-19
IM2650CE5,33,2025-04-02,2025-05-21
IM2650CQ5,33,2025-04-02,2025-05-21
MM1850BI6,33,2025-10-28,2026-05-19
MM1850BU6,33,2025-10-28,2026-05-19
IM2600CE5,32,2025-04-02,2025-05-21
IM2600CQ5,32,2025-04-02,2025-05-21
MM2950BG6,32,2026-04-03,2026-05-19
MX315000BG6,32,2026-04-03,2026-05-19
MX340000BG6,32,2026-04-03,2026-05-19
MM1800BI6,26,2026-04-10,2026-05-19
MM1800BU6,26,2026-04-10,2026-05-19
MM1750BF6,24,2025-10-28,2026-05-19
MM1750BR6,24,2025-10-28,2026-05-19
IM2550CE5,23,2025-04-04,2025-05-21
IM2500CE5,20,2025-04-04,2025-05-21
IM2600CD6D,17,2026-03-31,2026-04-22
IM2600CD6E,17,2026-04-07,2026-04-29
IM2650CD5D,17,2025-04-01,2025-04-23
IM2650CD6D,17,2026-03-31,2026-04-22
IM2650CD6E,17,2026-04-07,2026-04-29
IM2700CD5D,17,2025-04-01,2025-04-23
IM2700CD6D,17,2026-03-31,2026-04-22
IM2700CD6E,17,2026-04-07,2026-04-29
IM2700CE5A,17,2025-04-08,2025-04-30
IM2700CP6D,17,2026-03-31,2026-04-22
IM2700CP6E,17,2026-04-07,2026-04-29
IM2700CQ5A,17,2025-04-08,2025-04-30
IM2750CD5D,17,2025-04-01,2025-04-23
IM2750CD6D,17,2026-03-31,2026-04-22
IM2750CD6E,17,2026-04-07,2026-04-29
IM2750CE5A,17,2025-04-08,2025-04-30
IM2750CF5A,17,2025-05-13,2025-06-04
IM2750CP6D,17,2026-03-31,2026-04-22
IM2750CP6E,17,2026-04-07,2026-04-29
IM2750CQ5A,17,2025-04-08,2025-04-30
IM2800CD6D,17,2026-03-31,2026-04-22
IM2800CD6E,17,2026-04-07,2026-04-29
IM2800CE5A,17,2025-04-08,2025-04-30
IM2800CP6D,17,2026-03-31,2026-04-22
IM2800CP6E,17,2026-04-07,2026-04-29
IM2800CQ5A,17,2025-04-08,2025-04-30
IM2850CD6D,17,2026-03-31,2026-04-22
IM2850CE5A,17,2025-04-08,2025-04-30
IM2850CP5D,17,2025-04-01,2025-04-23
IM2850CP6D,17,2026-03-31,2026-04-22
IM2850CP6E,17,2026-04-07,2026-04-29
IM2850CQ5A,17,2025-04-08,2025-04-30
IM2900CP5D,17,2025-04-01,2025-04-23
IM2900CP6D,17,2026-03-31,2026-04-22
IM2900CP6E,17,2026-04-07,2026-04-29
IM2900CQ5A,17,2025-04-08,2025-04-30
IM2600CD5D,16,2025-04-02,2025-04-23
IM2600CE5E,16,2025-05-06,2025-05-28
IM2600CQ5E,16,2025-05-06,2025-05-28
IM2650CE5A,16,2025-04-08,2025-04-30
IM2650CE5E,16,2025-05-06,2025-05-28
IM2650CQ5A,16,2025-04-08,2025-04-30
IM2650CQ5E,16,2025-05-06,2025-05-28
IM2700CE5E,16,2025-05-06,2025-05-28
IM2700CQ5E,16,2025-05-06,2025-05-28
IM2750CE5E,16,2025-05-06,2025-05-28
IM2750CF5D,16,2025-06-03,2025-06-25
IM2750CQ5E,16,2025-05-06,2025-05-28
IM2800CE5E,16,2025-05-06,2025-05-28
IM2800CQ5E,16,2025-05-06,2025-05-28
IM2850CE5E,16,2025-05-06,2025-05-28
IM2850CQ5E,16,2025-05-06,2025-05-28
IM2900CQ5E,16,2025-05-06,2025-05-28
IM2600CE5A,15,2025-04-08,2025-04-30
IM2600CQ5A,15,2025-04-08,2025-04-30
MM1850BL6,15,2026-04-27,2026-05-19
MM1850BX6,15,2026-04-27,2026-05-19
MM1750BI6,14,2026-04-29,2026-05-19
MM1750BU6,14,2026-04-29,2026-05-19
IM2550CE5E,13,2025-05-06,2025-05-28
IM2500CE5E,12,2025-05-06,2025-05-28
IM2600CD6B,12,2026-03-24,2026-04-08
IM2650CD6B,12,2026-03-24,2026-04-08
IM2700CD6B,12,2026-03-24,2026-04-08
IM2750CD6B,12,2026-03-24,2026-04-08
IM2750CF5B,12,2025-05-27,2025-06-11
IM2900CP6B,12,2026-03-24,2026-04-08
IM2950CP6B,12,2026-03-24,2026-04-08
IM2500CE6A,11,2026-04-21,2026-05-06
IM2500CE6B,11,2026-04-28,2026-05-13
IM2500CE6D,11,2026-05-05,2026-05-19
IM2550CE5A,11,2025-04-08,2025-04-22
IM2550CE6A,11,2026-04-21,2026-05-06
IM2550CE6B,11,2026-04-28,2026-05-13
IM2550CE6D,11,2026-05-05,2026-05-19
IM2600CE6A,11,2026-04-21,2026-05-06
